series_id,series_name,hit,imdb,series_image_url
253330,سووشون,93,None,https://www.namava.ir/Content/Upload/Images/7564e979-fc66-4d6c-b111-0f9f90d60e2c.jpg
253862,گلدی,72,8,https://www.namava.ir/Content/Upload/Images/202949e9-7a95-43f4-a99e-907542cd9388.jpg
258612,جعبه تخیل,61,7.9,https://www.namava.ir/Content/Upload/Images/d41d395b-0441-4411-8253-ad0230a6a874.jpg
256033,دایره المعارف استانبول,77,6.9,https://www.namava.ir/Content/Upload/Images/3c75692b-0cb4-458e-b825-03a0c8e3bbf1.jpg
258847,بالارد,89,7.6,https://www.namava.ir/Content/Upload/Images/7a3a6380-4896-4f08-ac61-d6e007925e4e.jpg
258048,دکستر: رستاخیز,92,9.2,https://www.namava.ir/Content/Upload/Images/43282573-3554-47f8-be09-3ce5b53c1b25.jpg
257948,یونیکورن دیوانه,82,8.5,https://www.namava.ir/Content/Upload/Images/15594ad1-a949-4f96-a300-135a445536b4.jpg
256364,ربات‌ های جنگجوی گاندام: جی کوااااااکس,88,7,https://www.namava.ir/Content/Upload/Images/06203d60-98fc-442e-838c-78476f74190f.jpg
258066,بمب‌ گذاری هواپیمای پان آم ۱۰۳,0,7.4,https://www.namava.ir/Content/Upload/Images/5b007a66-1999-4baf-a212-c5e7bd80516f.jpg
257584,زیر دریایی,79,8.8,https://www.namava.ir/Content/Upload/Images/f4a9bf00-3983-4905-9ebe-31754c920c0f.jpg
257170,راه طولانی خانه,0,8.1,https://www.namava.ir/Content/Upload/Images/32ce2915-ca7c-4c37-b79e-b2959fc5c661.jpg
257760,خواهر بهتر,74,7,https://www.namava.ir/Content/Upload/Images/9137f777-079d-4421-9325-a6430915444a.jpg
257137,مظنون: تیراندازی به ژان چارلز دومنزس ,0,7.7,https://www.namava.ir/Content/Upload/Images/52b0c3eb-124b-46d0-a3ef-8912921af7f6.jpg
256941,من، جک رایت,0,7.1,https://www.namava.ir/Content/Upload/Images/80770b78-043f-4ba4-8110-548151e046af.jpg
258133,پیمان سکوت,0,7,https://www.namava.ir/Content/Upload/Images/f5c82c07-80d6-4552-8153-81001fe39bf9.jpg
257131,اختاپوس,0,7.3,https://www.namava.ir/Content/Upload/Images/3a767271-62d1-453e-9928-5a68ebc575f3.jpg
256468,کبوتر تنها,0,8.7,https://www.namava.ir/Content/Upload/Images/7032dded-5d1f-4918-972d-6895c7a20895.jpg
256643,ال تورکو,76,5.8,https://www.namava.ir/Content/Upload/Images/511064d3-7d89-4c1d-a38a-11be7cef10e9.jpg
257774,دپارتمان کیو,93,8.2,https://www.namava.ir/Content/Upload/Images/658f26e4-a4a1-4338-b2b9-db7942cd891a.jpg
258499,مسافرخانه جهنمی,79,5.5,https://www.namava.ir/Content/Upload/Images/679a1bd1-c733-422d-bd17-a192d25569d0.jpg
257716,یک داستان مخوف بریتانیایی: فرد و رز وست,82,6.6,https://www.namava.ir/Content/Upload/Images/3d76ee02-e3fb-42e5-9636-8deb2b87cd30.jpg
257682,تعقیب آمریکایی: اسامه بن لادن,82,7.7,https://www.namava.ir/Content/Upload/Images/015cc2a9-398d-4aea-ac00-ebf401aa7743.jpg
258141,کوسه: طوفان,86,7.2,https://www.namava.ir/Content/Upload/Images/a79c6965-4a3a-4588-968a-f886cf3115bd.jpg
256930,افعی سیاه ۲,70,8.6,https://www.namava.ir/Content/Upload/Images/701510a6-a014-4d69-b805-2864ec3dc1de.jpg
258045,عشق ماشین ها,79,7.6,https://www.namava.ir/Content/Upload/Images/5313b8bf-d573-4778-b5c0-3ec3647acc87.jpg
258100,ارنهارت,0,8.8,https://www.namava.ir/Content/Upload/Images/84cd5246-0df8-4264-b317-84a9bb8ce169.jpg
258195,یکه تاز: قهرمانان دبیرستان,90,8,https://www.namava.ir/Content/Upload/Images/1e58968e-7d28-4a95-b5bf-49cadda173f6.jpg
256089,افعی سیاه,86,8,https://www.namava.ir/Content/Upload/Images/8245eb34-18c2-42b2-9143-0bba57cfbdc3.jpg
255233,شغل جدید بلیپی,69,5.7,https://www.namava.ir/Content/Upload/Images/56a66c83-1f4b-4354-a3e3-f9a3a32e833f.jpg
254223,توئین پیکس,83,8.7,https://www.namava.ir/Content/Upload/Images/404cc7b7-d25b-4f08-a839-acf3a936570f.jpg
258365,بازماندگان,82,6.6,https://www.namava.ir/Content/Upload/Images/876cfb6d-c0c2-49cc-a609-068a63441bcd.jpg
256695,ابر مکعب,91,7.1,https://www.namava.ir/Content/Upload/Images/bec22f92-00b3-42c1-a128-5ea59193c80d.jpg
255969,پناهگاه امن,0,6.4,https://www.namava.ir/Content/Upload/Images/b99d628b-15a2-4234-85ae-a7cb45dc7c1d.jpg
256783,میز سرآشپز: سرآشپزهای افسانه ای,91,7.4,https://www.namava.ir/Content/Upload/Images/572a4b06-99f3-49cb-8a8d-ae969b2403c7.jpg
255715,دختر ربوده شده,80,6.4,https://www.namava.ir/Content/Upload/Images/95104b89-cf48-4892-8ebf-a209a25da66c.jpg
255118,دشمن عزیز من,90,8,https://www.namava.ir/Content/Upload/Images/4126164a-dcd3-4da7-90da-98d478fcd716.jpg
256394,دیوید بلین: امتحانش نکن,85,7.8,https://www.namava.ir/Content/Upload/Images/7a5ebe3c-1d96-476a-99ed-1b217c5dbf31.jpg
257273,پری های دریایی تک شاخ,80,8.2,https://www.namava.ir/Content/Upload/Images/bec0d5b4-79e8-41a1-a302-0490f9a16f23.jpg
258107,چوب گلف,86,7.1,https://www.namava.ir/Content/Upload/Images/a5ed371d-edb0-4373-bb5f-0b213518a8a0.jpg
253343,قاره آمریکا,96,8.3,https://www.namava.ir/Content/Upload/Images/24a25a0f-a0b3-4fc9-8466-f006a3416f6c.jpg
255069,شیطان هم می گرید,95,7.6,https://www.namava.ir/Content/Upload/Images/a780e2e1-0536-49e5-a141-a9f62739f408.jpg
256055,طلوع ماه,80,6.7,https://www.namava.ir/Content/Upload/Images/3bb5217d-0434-4e56-b566-bfbffc6ccefd.jpg
255304,قلب های مدفون,91,7.6,https://www.namava.ir/Content/Upload/Images/01ec9adf-dfae-42a5-85ff-a02eeeed9627.jpg
256001,سرقت الماس,0,7,https://www.namava.ir/Content/Upload/Images/e505023a-b062-42cf-82c4-9890be389953.jpg
257047,ربات قاتل,86,7.4,https://www.namava.ir/Content/Upload/Images/e961c491-b757-46ca-820e-18f05c4f1080.jpg
256974,داستر,78,7.3,https://www.namava.ir/Content/Upload/Images/5b791cf0-6881-461b-bf26-01b036305fe6.jpg
254923,نبض,82,6.4,https://www.namava.ir/Content/Upload/Images/32e16c8e-94ad-41cb-a24e-3f6301a321b5.jpg
254616,وقتی زندگی بهت نارنگی میده,96,9.1,https://www.namava.ir/Content/Upload/Images/bae6ac62-97aa-4f8a-a4c8-b7798f445398.jpg
256193,آستریکس و اوبلیکس: مبارزه بزرگ,95,8,https://www.namava.ir/Content/Upload/Images/671f5781-2fcb-473e-915b-0c1ec0b2e8e5.jpg
256016,گنبد شیشه ای,80,6.7,https://www.namava.ir/Content/Upload/Images/f0976f4c-bd30-4d8d-bd47-ce1e2a0619dd.jpg
254704,وقتی هیچ کس ما را نمی بیند,0,6.1,https://www.namava.ir/Content/Upload/Images/9532f9ee-8e98-4510-8d1d-52695267d339.jpg
255120,باغبان,82,6.1,https://www.namava.ir/Content/Upload/Images/19e80ca1-3047-4f8e-88fb-7791db8e6725.jpg
251191,شکوفه شانگهای,0,8.1,https://www.namava.ir/Content/Upload/Images/d8a64390-9e4e-4700-af25-368fb03cdb44.jpg
